FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0x3d0b48ace8644cd472b26d83a7fb95b6c9f71f18;559;2;1;559 x solo
0xe6fa82daf187aca549ad0ca23f4915770e14b0d3;551;1;1;551 x solo
0xa3de8e2531de7ca57b3131d7ab96d015533f9bbe;528;4;3;528 x solo
0x4c7052546a9e38a72b9731e334d8100b45e88cbc;510;1;1;510 x stakefish
0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e;500;1;500;500 x solo
0xbcf8cf9055ee8f904d0d8ce0e8ee0bf6d4a58633;500;2;1;500 x solo
0x711cd20bf6b436ced327a8c65a14491aa04c2ca1;500;1;1;500 x solo
0xe79a02ad6676c39456e6c48ca121a5f8eb61c2b6;473;1;1;473 x Abyss
0xfb626333099a91ab677bcd5e9c71bc4dbe0238a8;467;1;1;467 x Staked.us
0xd9c5cc86bab7ff8950af75c9576c033c95d50cd8;456;2;1;456 x solo
0x46bbbcc9a445dc7ee0327c9b1d66d017088e520e;453;3;1;453 x solo
0xa10356d2d0d87e176c35da9f28db4e47db6ceb00;448;1;1;448 x solo
0x5b3f05edd4d26e2be875e6ebe893d08a68ba08be;448;1;1;448 x solo
0xe3c44d4d25172ef2e0cdb9e09189a8ca4ed878f4;437;1;1;437 x Staked.us
0xb81e87018ec50d17116310c87b36622807581fa6;410;1;410;410 x Rocketpool
0x6bbba538c14d36ee92dd3941afe52736c5cfb842;406;1;406;406 x Rocketpool
0x0047ee4eca833878bf5c88ec216b1f8b4680b2b3;405;3;1;Staked.us,404 x solo
0x2a11aca7b7ac5c22da4de183480c39efdd40725b;402;1;1;402 x solo
0x0038598ecb3b308ebc6c6e2c635bacaa3c5298a3;400;1;1;400 x solo
0xfe31320faf8da1492eadf8deb79bd264d7cf2141;395;2;1;395 x solo
0x0ec24e397a3592da41264209cc0582bc3bbc9776;380;2;1;380 x solo
0x56fa2d29a54b5349cd5d88ffa584bffb2986a656;376;2;1;376 x solo
0x46d24de64abe6a7ab6afda0389074ae8c7ed5d0f;373;1;1;373 x solo
0xfd225193f80f40053fd1a1548bca6cf0e6577bb4;372;1;2;372 x solo
0x5fbbd8af3dddd08dba5857e5ea169049e3ea8e47;365;1;37;365 x solo
0xcd1382721144f4800543ac63d2b1ac3932126c8a;360;4;1;360 x solo
0x50a4f9d29f54ab5f10a3511149b5890ab5bb408f;351;2;1;351 x solo
0x62e41b1185023bcc14a465d350e1dde341557925;351;1;1;351 x stakefish
0x35e823ea58b4270c50a58f81c1952faa6bcb8939;349;1;2;2 x solo,347 x stakefish
0x06de102ff2395820a65340ecf19c9da370310053;347;2;1;347 x Staked.us
0x38bc2db2732a7efa43c89160118268ef0d15163d;344;1;1;344 x solo
0x0a6ef7ee49df7ebce0cc76a1f7f53ab261f2fc83;340;1;1;340 x Staked.us
0x0d6a14a621b846e73016bdc582b411ee2fd6ddf8;329;2;1;329 x solo
0x331e6881d4587d71f80abeaebca7f23189ca5441;321;1;2;321 x solo
0x2324b024aac834cbe050718848ac56f607587dc8;319;1;1;319 x solo
0x00359d862dd26307b0816f7ba3501a01808706fa;318;2;1;313 x Abyss,5 x solo
0x1749ad951fb612b42dc105944da86c362a783487;317;2;1;205 x Staked.us,112 x stakefish
0x39fd78fe6a72faae2ab5f1f053c253b2e3685c15;316;1;1;316 x solo
0x2c00df86c2a84a81a41fd608541e3f72bc6e1fb9;314;1;1;314 x Abyss
0x7dbfa10e97ce7b4dda9e933bff3a1ad7803b995a;312;1;1;312 x solo
0x8626354048f90faafc212c07ec7f3613406b1b32;312;1;1;312 x Staked.us
0x4e017a192177abdae99250b6a0809dd76c856767;311;1;2;311 x stakefish
0xaa5104d696a3c8ab61331c87d9294c0ae1f5aa51;311;1;1;311 x stakefish
0x80845058350b8c3df5c3015d8a717d64b3bf9267;300;1;1;300 x Staked.us
