FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0x354f8db2a68c5037333e4c92cf3b53a181cb77f8;210;1;1;210 x solo
0xb3b0c18f1db3226fd466508c32bbb25b4ef1d696;207;2;1;207 x solo
0x8989859156070a1bc64f8833dbbc19dc1bd1a2b8;205;2;1;205 x solo
0x41bf25fc8c52d292bd66d3bcecd8a919ecb9ef88;204;1;5;204 x solo
0xc407ef86a14663e024fab7e9b1ec3315599082d5;200;1;1;200 x Abyss Finance
0x04ecbcb5a43080c8a854bdce5d36b15355be505a;200;8;2;200 x solo
0xa8565e9879796b56f66a8e43be45c9ff4bc07502;200;1;151;200 x solo
0x388ea662ef2c223ec0b047d41bf3c0f362142ad5;189;3;29;82 x solo,107 x Abyss Finance
0x423f7a5f5b33a39b6db98f4b57126d35eb7e1b04;176;1;176;176 x solo
0xd3157e3251a42f8a2dc35dea474538253a25d440;168;2;8;168 x solo
0x779c03e8d81ab8af1e03bf32f5805c5da3a7e158;160;1;1;160 x solo
0x960d86b400f3dfe8fa1f4f4adae8a769399e97ca;154;1;2;154 x solo
0x22ea9f6b28db76a7162054c05ed812deb2f519cd;147;1;147;147 x solo
0x914ef8f76f5b8317cf381ab35cf1231adbd9c328;140;1;1;140 x solo
0xca445ecf3c53e1f8bc0dcfec6ff1e9544b3dc5b8;133;3;3;133 x solo
0x2b5105705be01fbcee66eb4b3e1d0810a6dbabca;129;6;97;129 x solo
0x1ef99f075b0c7faec5736d2df52ff9a42a39b7cd;127;1;127;127 x solo
0xc56531641ab482376e2a6cc618ca17b5f5d5631b;125;1;125;125 x solo
0xccb040a1ef49b14615325d8088905e97a341f40c;125;1;118;125 x solo
0xe9a10df884b7911ff577eee25c751cc7649b58e3;124;3;2;124 x solo
0xc8d0f3879c7953c4410985d951a1aa62125cbb24;124;1;2;124 x solo
0x09f33476f2ba9a308786e96c89e1fb2c474cf144;123;1;1;123 x solo
0x7362cc429fd2e2abb3f1217c660967e6ed52b594;120;4;1;120 x solo
0xd2322a361cbd77dd8bd45386cf3e70a1ac525f3f;120;1;120;120 x solo
0xc741f51427f78577f2b20cae2bc2c0da02c61677;118;1;2;118 x solo
0x776e273eef19cf80c1ea17b193fc86c3b581995a;112;2;1;112 x solo
0x2018309b3fefd683126e7d7c517a549fcab99c73;111;2;11;Abyss Finance,110 x solo
0x6e544942372177fc7262224b56cad24daff6eaeb;104;1;1;104 x solo
0xa0c4571eaf0bbe5e435f3cb23ef39eb1cc178d3f;103;1;102;103 x solo
0x2875f691610ee7ed960c48fb025764164e48970a;102;1;2;102 x solo
0x4a9f3d2870382643abd140f781b9b7f6616823db;102;1;102;102 x solo
0x6dfe750fd01df184ab0ba9d0564bba40a9bc8c75;101;1;1;6 x solo,95 x Abyss Finance
0x06b76394c284f0f9a52e43ca346f28892880cc9d;101;1;101;101 x solo
0x17f9e68767a4a3990f3f2c606855178cb41f6a3a;101;1;101;101 x solo
0xbcd3f3defdcfd79d2b66691909e8170da06cf2de;100;1;1;100 x solo
0x9373e84ff2ca248836e65827a6e5d60c07695425;100;1;1;100 x solo
0x7cc2418a453782db1f8550dd11561adc18b05c11;100;1;1;100 x solo
0x41db084ad3a2bccf315e63981f0c0cb06cdb7bc9;100;1;1;100 x solo
0x2a4af3120eac7223168ccdcd34a2a4b4884f8e0b;100;1;100;100 x solo
0xd67d48eab942f2aa1f59187a3a06dbb082d9bf40;100;2;1;100 x solo
0x62b7288f807db31105477e0966117299dba46563;100;1;1;100 x solo
0x73289b1fad73c86d04cd894da0f2afc2caa941be;100;1;100;100 x solo
0xd20dd2bcb8ea5ca8d5cd22aa67b4e17a01143ea9;100;1;1;100 x solo
0x01d9e19941832e317feea3c1e7af5e3a560834ef;99;91;1;99 x solo
0xdbdb43e4381a4466c2d1029914c9e58e2368d741;99;1;2;99 x solo
0x35ae1a321f54746004d8ea72ebee9d32785be4a0;96;1;96;96 x solo
0x76d34ea98d3ab1f26b1185902d8e2fe6353f5fb6;92;1;3;92 x solo
0x32f9eff77e1646ab4c969b604c40776c100167d4;91;88;1;91 x solo
0x12413fdb146df6b5f6285e2cdadc9cb23b5142d1;90;1;90;2 x solo,88 x Rocketpool
0x0acbf76070cd0e3f3b301af194008548d23fc506;90;1;7;90 x solo
0x2b96c5e63384fee4848181addd04c29b3a16eb89;86;4;1;86 x solo
0x06f2e9ce84d5e686428d361d91b437dc589a5163;85;1;1;85 x solo
0x85e7096096a18841670c655d2b3d159de6598886;85;1;85;85 x Rocketpool
0x1733ec7698d8da4811b2f3ad75ba7baea417101a;83;1;83;83 x solo
0x9a1180a153cee404dbfe3b8a7ac4ad1ecf5fc28d;82;1;1;82 x solo
0x1a7946d554d1fc68eb73cb75f6af1ffa4b837c42;74;1;74;27 x solo,47 x Rocketpool
0x16d3e274d811bf1fed14daa6c2dd4fa870e69edd;69;1;3;Abyss Finance,68 x solo
0xadffd870eb8dd41b381ad3733cf284c3fd92a060;67;1;1;67 x Abyss Finance
0xccab263f4a9896d92951e6f469d4d878b7321901;67;1;1;67 x solo
0x7bf38b6068ba689103913a5dff8f7e2f50c44aee;66;6;9;62 x solo,4 x Abyss Finance
0x6ee5f9689fdec2179585d5cd1fa0dffb808735f3;66;1;66;66 x solo
0x8a4b03adab0d9cd6ce3735bce5dc43a20ce6e50b;61;1;61;61 x Abyss Finance
0x358d1e9bf1f3efbda5d812bc66289804d4bc3a20;60;1;60;60 x Abyss Finance
0xc12ea43dba3bbae4239e5932b1569b9188c50371;60;1;60;60 x Abyss Finance
0x41fc2998f4e91b21f2b1bb53e06985f6eca348a5;60;1;60;60 x Abyss Finance
0x3c5f27fb61c562323ce17d0e338abfc0918a92b5;57;3;1;57 x solo
0xa2644fdffc492b0d75f65d5927394757cd357c1b;57;1;57;57 x solo
0x7eb4b4fe66120767f10401a75fd470136a7d64d3;55;2;3;52 x solo,3 x Abyss Finance
0xd5e73f9199e67b6ff8dface1767a1bdadf1a7242;55;1;4;55 x solo
0x1dd8f12e17519732b56bdcfaea9d10fb55e2cb6c;54;1;54;54 x solo
0x809f158f88b20b6be77be59b556fe7f054496ec2;54;1;54;54 x solo
0x47d86602399a09def0fa5e7d2ad2d41efec64fa9;54;1;1;54 x solo
0xc2b4b52bd08ca4d950dc5f14bb088500f988393f;53;1;53;53 x Abyss Finance
0xeeef33e7cba643e8ccb920d9a615f6e4de39e35c;52;1;52;52 x Abyss Finance
0xa12ed315df080817ce574111d6aa24d926fa23a0;52;5;2;52 x solo
0x575fda4cedc5c850e542fd2f2276c87de36e7d14;52;2;1;52 x solo
0x1a87775ffda1c376853167fd18297daa31d061d7;52;1;52;52 x solo
0x5296dcbffaa61d1fbb6f32f4e9970fb32384e4bc;52;1;52;52 x Rocketpool
0x3032df2c4f795f8b3043bd7139853d0820995f5e;51;1;51;51 x Abyss Finance
0xade2acc0cb4761ae9c9146dad4d0e1a53f59aff8;51;1;51;51 x Abyss Finance
0xe944100ac96c0f5c0949420c19f2f7223df6a1e5;51;1;51;51 x solo
0x83eb1256eb4185e15179e931246fec144b91af4d;51;1;51;51 x Abyss Finance
0xb8979839ccf1ae913140605a167df3ccf2b09a25;50;1;50;50 x Abyss Finance
0xc191a23752fbce4d3ac01d37093489c1abe3abce;50;1;50;50 x Abyss Finance
0xa0983f2a9b946c9de324ec469f9a726a5d9f4796;50;1;50;50 x Abyss Finance
0xa50954545e7d37fe97c20ba9d16e8419e8b93819;50;1;1;50 x solo
0xbcd07428efd3ee0fc5f9656c45bf1fa5479ed3fd;50;1;50;50 x Abyss Finance
0xdfb8ec81f297461c14abdec928253b0b58b7a0cf;50;1;50;50 x Abyss Finance
0x62c8bcec31584187f69295294fbb7620d2e0cd72;50;1;50;50 x Abyss Finance
0xafb5c2f4166946e2ee8d9c6ad8a4356acd076488;50;1;50;50 x Abyss Finance
0x1d9e730f13d7414d3f1a9de7bab6f29d643bedec;50;1;50;50 x Abyss Finance
0x3ef51b5079021a11b1cab3d36eea45facf2b00ce;50;2;3;50 x solo
0xd7f1a6024eef434e5cf46b0a856f04e931fd10f2;50;1;50;50 x Abyss Finance
0xb827547e97adb6b7602bd50589a727f8ff219650;50;1;1;50 x Abyss Finance
0x0cc575d0b438006bde7193e1333e7a973a86b3c3;50;1;50;50 x Abyss Finance
0x2d1a0d741443ed1d52547d6bf6b04ee4743f095b;50;1;50;50 x Abyss Finance
0xb58c4a07278e812c963dee73d82e7fa4011b2327;50;1;50;50 x solo
0x2e5c21503d12f5e5ad39f94c53a09b327d4c5576;50;1;1;50 x solo
0x5d8cba0a25ad107e3d2874ccb7063ac3d306dd82;50;1;50;50 x solo
0x9aba5af83476d9cd128beccb7c39db5a5a71bd9e;50;1;50;50 x Abyss Finance
0x32a6bcae2dd28f85555467d85600f4ecc8172808;50;1;50;50 x Abyss Finance
0x0b7f9a490e9488f4d9f7be12747ba7fd465fc370;50;1;50;50 x Abyss Finance
0x4554f8ca6104a361f20e75213d980f7ee56b24c3;50;1;1;50 x Abyss Finance
0x55da23ce2bd7e7c32921a31872363cc92b23cb37;50;1;50;50 x Abyss Finance
0x351f05a65b49f279a91cd1b22870e8c4de8e47f8;50;1;50;50 x Abyss Finance
0x67b8e2ce8e8fc6a6fa1a611dc0a118e65245d751;50;1;50;50 x Abyss Finance
0x2b499fddd3ded4f1a28d0404a925e36d2897b1f1;50;1;50;50 x Abyss Finance
0x05e41711944cf4516e569cddcb4c7c8b3587f8d2;50;1;50;50 x Abyss Finance
0x38a14f07785ab1cf642361a150b0f6be65dfd334;50;1;50;50 x Abyss Finance
0xb25c9dc157fc3ade134ea4c2c3f31b9db45082ed;50;1;50;50 x Abyss Finance
0xc027b2d0325c835f6ef29345d061dd4f6c4644bf;50;1;50;50 x Abyss Finance
0x336c442488cfed1a132d9f6edac282f977bb3fa7;50;1;50;50 x solo
0x014328904a96c5c0b270ed722be7db3dab5768b8;50;1;50;50 x Abyss Finance
0x297d3fdbcfb88d281856015571742fe9779a3895;50;1;50;50 x Abyss Finance
0x90d89defc0c8982fb9c9a922d9101d9a8ad53388;50;1;50;50 x solo
0xdb699a6a6136bc56689fb6d98fdd977d201b4e5c;50;1;1;50 x solo
0xb628c63e7760ce6a4693353cac9b1c4183c9c45f;50;1;50;50 x Abyss Finance
0x4b7fde1cae831b939c749dcbb62df2dfc915ea36;50;1;50;50 x Abyss Finance
0xccfba392572336bd682fd43ac45ca133a2dfa84b;50;1;50;50 x Abyss Finance
0x3826539cbd8d68dcf119e80b994557b4278cec9f;50;1;50;50 x solo
0x9b18e9e9aa3dd35100b385b7035c0b1e44afca14;49;1;15;49 x solo
0x1b1627b632f774b4b95cfe28ec03d8f9c5847f0b;46;2;5;46 x solo
0x0cbe33996359140574ca079eb345080f0817c2b5;46;1;46;46 x solo
0x9f7c89a7aef9897dd7486e0e4928364e0e4c9f18;45;1;1;45 x solo
0xaa067d4b2f3de3503a5edab36a9bb0895356de94;45;1;2;45 x solo
0xc8a6bfe0834fb99340a0df253d79b7cae25053b8;44;1;1;44 x solo
0x633fcc67684b4ae3120704dcf0847840324d4405;43;1;43;43 x solo
0xcb3ef8ee0ec8b6e69369d2822d5e2c9788c59864;43;6;3;43 x solo
0x9d9db58941aa793795edf106b638f26e2f86cbdb;43;2;1;43 x solo
0x179db50c7cb57821d5ba886a4f6ee98cf6ca0fa6;43;4;3;43 x solo
0x38a5326f2daee22475cddda88e38c24f714977df;43;1;43;43 x solo
0x8d8b9d2e5577ad98d7e57ce866418756151b6301;42;1;42;31 x solo,11 x Rocketpool
0xad1af794a5a5ccf57f8abbd983ebc3138a131a36;42;2;2;42 x solo
0x6210438324d8f8bda3d3413a6df533efdb505036;42;2;1;42 x solo
0x670b24610df99b1685aeac0dfd5307b92e0cf4d7;42;1;31;40 x solo,2 x Abyss Finance
0x6f0eda7984baa4063b23f9c7a39bc8c865d84a82;42;2;1;42 x solo
0xec0d5947a3d12f02467038a2182f873b654e13f5;40;2;2;40 x solo
0x0fb2dd8801609e646f1763a6f3a68b1094b65d4e;39;1;39;solo,38 x Rocketpool
0xffa618ed01b71ec7dc5e11a1766becb318567002;39;1;3;39 x solo
0x0dc3c4a4655d8c156df732ae69436b9f3eb54806;39;1;39;39 x solo
0x287ab3d1da953b1a53b19f859dd902b5bbff79ca;37;8;3;37 x solo
0xa243a1f2bf47171df2f49f0256c16f5945a08043;37;36;1;37 x solo
0xe9d04433bac1bd584b0493cbaba170cccbda8f00;37;1;2;37 x Abyss Finance
0x9ce658155a6f05fe4aef83b7fa8f431d5e8ccb55;37;1;1;37 x solo
0xee1783d97d54cf878adaacb9cb744d553eb5d33d;36;1;36;36 x solo
0xc899d4e1d5cf220766e339ad202c2d5cbb18424f;36;1;7;36 x solo
0xbf49d4ffb8eeb1f30a27c8c032bd6c53a29f84a4;35;1;35;35 x solo
0xc799be8de03f20b2d3b101e6f6516d614e6ffe06;35;1;35;35 x solo
0xebac130faa9f40ff7c2fc6adf790a6631bb38171;35;2;4;35 x solo
0xe2d786ff7d498677994a9803cd544a4f39572be7;34;2;1;34 x solo
0xae91ce827bcd7f41432b98c4ddfeb8243053304c;34;1;34;34 x Rocketpool
0x5dc29815e46dfb5eab5c57606f8e2a5fbbdb454e;34;1;34;34 x solo
0xbf40cbfe89027bdb55ec069fcfbaf57544e69fe2;33;1;33;33 x solo
